Town,Median_Price,Avg_Price,Transaction_Count,Flip_Rate,Avg_Days_To_Sell,Avg_YoY_Growth,Recent_Momentum,score_growth,score_momentum,score_flip,score_days,Investment_Score,Rank
Roxbury,500000.0,594544.8834745763,944,0.036016949152542374,460.6896186440678,6.07300854383343,4.7691033786193735,0.1196537821916644,0.3944266775155124,0.3402259978064035,0.6478842484069567,0.3254,92
Harwinton,237000.0,256976.99413489737,1705,0.025806451612903226,457.66979472140764,4.192901714484662,9.947061415874455,0.07123269718691262,0.528173549726763,0.1280236248924428,0.7653745167328196,0.3238,93
Bethany,300000.0,312911.8973932335,1803,0.028840820854132,462.3671658347199,6.680566775912307,8.710006973966689,0.13530109985553251,0.49622038186217626,0.19108620835481893,0.5826170425675521,0.3218,94
Clinton,245000.0,286610.2855503469,5333,0.04387774235889743,467.0525032814551,3.7266783394955345,7.608777218152219,0.05922537860312217,0.4677755713082029,0.5035950172786354,0.4003277542142065,0.3218,94
Bloomfield,210000.0,252533.66890859065,6542,0.036380311831244266,464.4529195964537,3.9104202116440674,9.257540835580969,0.0639575463030385,0.5103632043597257,0.347777679039328,0.5014680168614767,0.3203,96
Colchester,240000.0,250548.31724137932,4930,0.03975659229208925,468.8316430020284,3.431129502138121,11.229979396004788,0.05161368593047981,0.5613113746978144,0.4179461230973113,0.3311079558044945,0.3197,97
Bolton,245000.0,265061.29161290324,1550,0.03612903225806452,464.4967741935484,4.115271325631761,8.989838595720771,0.06923337055348919,0.5034484443312284,0.3425553946710548,0.4997617954022324,0.3187,98
Deep River,228500.0,273916.97543160693,1506,0.034528552456839307,462.33067729083666,3.137318770936952,9.288284928523405,0.04404675719604832,0.5111573255635743,0.30929299875916494,0.5840366779242672,0.3182,99
Suffield,256200.0,298315.0320186213,5048,0.0384310618066561,467.12143423137877,3.5624966052431306,10.243277826806924,0.05499697116032974,0.5358248319841339,0.390397934256687,0.3976459038779261,0.3177,100
Chester,290000.0,331547.03117101936,1187,0.037910699241786014,460.7582139848357,3.974202846511579,5.0226434909154705,0.06560023188692982,0.4009756291979537,0.37958336125352576,0.6452154553914937,0.316,101
Branford,235000.0,302101.00978856697,10216,0.041992952231793265,467.04395066562256,3.347182089071176,8.270106841703795,0.04945166792140129,0.4848577430860098,0.4644238666208347,0.40066050511451934,0.3157,102
